4.4097e-02 1.4884e+02 a
6.5958e-02 1.4881e+02 a
8.7903e-02 1.4880e+02 a
1.0982e-01 1.4880e+02 a
1.3183e-01 1.4880e+02 a
1.5381e-01 1.4880e+02 a
1.7608e-01 1.4880e+02 a
1.9799e-01 8.9978e+01 a
2.2002e-01 2.1105e+01 a
2.4184e-01 2.0484e-14 a
6.7571e-02 1.3414e+02 b
8.9555e-02 1.0842e+02 b
1.1156e-01 9.6808e+01 b
1.3351e-01 6.4039e+01 b
1.5557e-01 5.1697e+01 b
1.7788e-01 4.6466e+01 b
1.9994e-01 2.6154e+01 b
2.2193e-01 6.1724e+00 b
2.4401e-01 7.2688e-01 b
2.6591e-01 6.4029e-14 b
6.7450e-02 2.8336e+01 c
8.9596e-02 4.3096e+00 c
1.1161e-01 5.9970e-01 c
1.3360e-01 6.8650e-02 c
1.5589e-01 6.7265e-03 c
1.7786e-01 5.5534e-04 c
1.9988e-01 3.4215e-05 c
2.2178e-01 1.0919e-06 c
2.4367e-01 1.0254e-08 c
2.6591e-01 1.0000e-15 c
6.8133e-02 2.8406e+00 d
8.9967e-02 7.5589e-02 d
1.1185e-01 1.9830e-03 d
1.3425e-01 2.0753e-05 d
1.5606e-01 1.4201e-07 d
1.7795e-01 1.9234e-09 d
1.9984e-01 8.8680e-12 d
2.2181e-01 6.3520e-14 d
2.4359e-01 5.1023e-14 d
2.6581e-01 1.0000e-15 d
6.9387e-02 3.5394e-01 e
9.1333e-02 8.3734e-04 e
1.1364e-01 2.0496e-06 e
1.3561e-01 2.7981e-09 e
1.5770e-01 8.4385e-12 e
1.7961e-01 1.5093e-13 e
2.0152e-01 7.5789e-14 e
2.2339e-01 6.3520e-14 e
2.4560e-01 5.1023e-14 e
2.6751e-01 1.0000e-15 e
7.0052e-02 7.9999e-02 f
9.2280e-02 5.4450e-06 f
1.1438e-01 6.3609e-10 f
1.3626e-01 2.1410e-13 f
1.5824e-01 1.9895e-13 f
1.8018e-01 1.1633e-13 f
2.0226e-01 1.0998e-13 f
2.2447e-01 6.3520e-14 f
2.4641e-01 5.1023e-14 f
2.6830e-01 1.0000e-15 f
