# columns=time, rows=iteration
2.9000e+02 3.7909e+02 4.3234e+02 3.3487e+02 1.7761e+02 4.3367e+02 4.2277e+02 3.4308e+02 2.7848e+02 3.4536e+02
0.0000e+00 1.5788e-04 8.8451e-02 1.4929e-01 5.1577e-04 2.3290e-02 1.8750e-01 1.2492e-02 9.4375e-02 7.0118e-03
0.0000e+00 0.0000e+00 1.2393e-08 1.5877e-05 8.7969e-08 5.8581e-09 3.4436e-06 7.8848e-06 1.4074e-06 5.8534e-07
0.0000e+00 0.0000e+00 0.0000e+00 1.2770e-12 1.1802e-11 1.1466e-12 1.1236e-12 1.3336e-10 3.8052e-10 8.0025e-12
0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.4075e-15 3.1067e-14 3.8934e-14 1.1733e-14 6.7568e-14 8.1676e-14
0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0941e-14 4.7783e-15 6.5033e-16 3.8738e-14
0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6826e-15 0.0000e+00 0.0000e+00
0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
