# columns=k, rows=iterations
2.1749e-02 7.9367e-01 8.0736e-01 8.3256e-01 8.4097e-01 8.6010e-01
4.6863e-02 8.1574e-01 8.2978e-01 8.5453e-01 8.6330e-01 8.8215e-01
6.8929e-02 8.3756e-01 8.5172e-01 8.7646e-01 8.8537e-01 9.0412e-01
9.0867e-02 8.5988e-01 8.7363e-01 8.9847e-01 9.0733e-01 9.2648e-01
1.1315e-01 8.8186e-01 8.9560e-01 9.2084e-01 9.2933e-01 9.4836e-01
1.3518e-01 9.0393e-01 9.1767e-01 9.4279e-01 9.5131e-01 9.7035e-01
1.5748e-01 9.2592e-01 9.3959e-01 9.6475e-01 9.7338e-01 9.9234e-01
1.7939e-01 9.4788e-01 9.6180e-01 9.8673e-01 9.9561e-01 1.0144e+00
2.0129e-01 9.6978e-01 9.8372e-01 1.0088e+00 1.0176e+00 1.0365e+00
2.2353e-01 9.9241e-01 1.0058e+00 1.0306e+00 1.0396e+00 1.0588e+00
2.4550e-01 1.0143e+00 1.0277e+00 1.0528e+00 1.0616e+00 1.0808e+00
