2.0008e-02 1.9449e+01 a
2.7345e-02 1.7125e+00 a
3.5235e-02 2.5639e-01 a
4.3185e-02 3.5924e-02 a
5.1310e-02 4.6989e-03 a
5.9274e-02 7.8379e-04 a
6.7253e-02 8.4161e-05 a
7.5526e-02 1.2451e-05 a
8.3484e-02 1.6035e-06 a
9.1531e-02 1.4910e-15 a
2.8161e-02 3.6190e+01 b
4.2889e-02 6.6607e+00 b
5.8333e-02 1.2259e+00 b
7.3351e-02 2.2562e-01 b
8.8427e-02 4.1526e-02 b
1.0378e-01 7.6428e-03 b
1.1850e-01 1.8497e-03 b
1.3352e-01 3.5207e-04 b
1.4875e-01 4.7648e-05 b
1.6375e-01 1.8239e-14 b
4.5227e-02 3.8017e+01 c
7.4275e-02 7.8341e+00 c
1.0339e-01 1.7523e+00 c
1.3242e-01 3.9282e-01 c
1.6196e-01 8.7589e-02 c
1.9100e-01 1.8905e-02 c
2.2012e-01 3.6357e-03 c
2.4908e-01 5.2425e-04 c
2.7805e-01 3.9801e-05 c
3.0760e-01 4.0445e-15 c
8.6973e-02 3.7323e+01 d
1.4436e-01 4.3965e+00 d
2.0152e-01 5.5347e-01 d
2.5863e-01 6.9754e-02 d
3.1608e-01 8.7892e-03 d
3.7351e-01 1.1029e-03 d
4.3094e-01 1.3412e-04 d
4.8826e-01 1.4121e-05 d
5.4604e-01 9.1308e-07 d
6.0355e-01 7.3081e-15 d
