# columns=k, rows=iterations
6.2994e+00 6.3034e+00 6.3475e+00 6.4061e+00 6.4673e+00 6.5076e+00 6.5863e+00 6.6219e+00 6.6962e+00 6.7452e+00 6.8053e+00 6.8617e+00 6.9350e+00 7.0155e+00 7.0515e+00 7.0709e+00 7.1233e+00 7.2137e+00 7.2762e+00 7.3396e+00
9.3877e+00 9.3701e+00 9.4751e+00 9.4951e+00 9.5843e+00 9.6180e+00 9.7116e+00 9.7293e+00 9.8369e+00 9.8468e+00 9.9179e+00 9.9785e+00 1.0055e+01 1.0127e+01 1.0184e+01 1.0180e+01 1.0265e+01 1.0309e+01 1.0406e+01 1.0444e+01
1.2463e+01 1.2453e+01 1.2625e+01 1.2602e+01 1.2713e+01 1.2737e+01 1.2844e+01 1.2845e+01 1.2972e+01 1.2978e+01 1.3038e+01 1.3083e+01 1.3197e+01 1.3244e+01 1.3315e+01 1.3300e+01 1.3423e+01 1.3437e+01 1.3551e+01 1.3549e+01
1.5538e+01 1.5542e+01 1.5774e+01 1.5721e+01 1.5844e+01 1.5862e+01 1.5971e+01 1.5960e+01 1.6115e+01 1.6121e+01 1.6152e+01 1.6199e+01 1.6343e+01 1.6375e+01 1.6453e+01 1.6442e+01 1.6572e+01 1.6576e+01 1.6679e+01 1.6659e+01
1.8628e+01 1.8595e+01 1.8894e+01 1.8849e+01 1.8964e+01 1.8998e+01 1.9113e+01 1.9098e+01 1.9285e+01 1.9271e+01 1.9288e+01 1.9321e+01 1.9492e+01 1.9515e+01 1.9596e+01 1.9581e+01 1.9712e+01 1.9736e+01 1.9823e+01 1.9802e+01
2.1688e+01 2.1643e+01 2.2033e+01 2.1976e+01 2.2099e+01 2.2117e+01 2.2272e+01 2.2241e+01 2.2440e+01 2.2422e+01 2.2421e+01 2.2450e+01 2.2582e+01 2.2664e+01 2.2683e+01 2.2732e+01 2.2830e+01 2.2886e+01 2.2967e+01 2.2943e+01
2.4737e+01 2.4695e+01 2.5170e+01 2.5083e+01 2.5235e+01 2.5211e+01 2.5419e+01 2.5324e+01 2.5583e+01 2.5577e+01 2.5522e+01 2.5604e+01 2.5688e+01 2.5819e+01 2.5826e+01 2.5873e+01 2.5912e+01 2.6025e+01 2.6123e+01 2.6068e+01
2.7802e+01 2.7739e+01 2.8242e+01 2.8162e+01 2.8315e+01 2.8306e+01 2.8497e+01 2.8403e+01 2.8665e+01 2.8726e+01 2.8619e+01 2.8761e+01 2.8784e+01 2.8990e+01 2.8972e+01 2.9010e+01 2.9005e+01 2.9115e+01 2.9277e+01 2.9205e+01
3.0868e+01 3.0777e+01 3.1340e+01 3.1221e+01 3.1352e+01 3.1363e+01 3.1551e+01 3.1477e+01 3.1709e+01 3.1828e+01 3.1662e+01 3.1876e+01 3.1838e+01 3.2092e+01 3.2060e+01 3.2156e+01 3.2070e+01 3.2207e+01 3.2373e+01 3.2347e+01
3.3927e+01 3.3808e+01 3.4380e+01 3.4291e+01 3.4387e+01 3.4424e+01 3.4574e+01 3.4548e+01 3.4748e+01 3.4918e+01 3.4703e+01 3.4974e+01 3.4916e+01 3.5123e+01 3.5107e+01 3.5241e+01 3.5125e+01 3.5249e+01 3.5419e+01 3.5435e+01
3.6975e+01 3.6857e+01 3.7437e+01 3.7354e+01 3.7421e+01 3.7483e+01 3.7619e+01 3.7599e+01 3.7772e+01 3.7935e+01 3.7754e+01 3.8016e+01 3.7969e+01 3.8157e+01 3.8146e+01 3.8260e+01 3.8176e+01 3.8299e+01 3.8472e+01 3.8477e+01
