# columns=time slice, rows=singular values
3.5327e-02 2.7746e-02 2.1870e-02 1.7299e-02 1.3731e-02 1.0935e-02 8.7368e-03 7.0028e-03 5.6305e-03 4.5409e-03 3.6731e-03 2.9798e-03 2.4242e-03 1.9777e-03 1.6179e-03 1.3271e-03 1.0914e-03 8.9982e-04 7.4376e-04 6.1628e-04 5.1188e-04 4.2617e-04 3.5563e-04 2.9745e-04 2.4934e-04
1.1549e-03 9.0751e-04 7.1528e-04 5.6546e-04 4.4833e-04 3.5648e-04 2.8424e-04 2.2725e-04 1.8218e-04 1.4642e-04 1.1799e-04 9.5308e-05 7.7178e-05 6.2645e-05 5.0968e-05 4.1563e-05 3.3969e-05 2.7824e-05 2.2839e-05 1.8787e-05 1.5486e-05 1.2791e-05 1.0586e-05 8.7777e-06 7.2925e-06
5.5497e-05 4.4672e-05 3.6047e-05 2.9157e-05 2.3639e-05 1.9210e-05 1.5646e-05 1.2771e-05 1.0447e-05 8.5640e-06 7.0351e-06 5.7908e-06 4.7762e-06 3.9471e-06 3.2681e-06 2.7111e-06 2.2532e-06 1.8760e-06 1.5647e-06 1.3074e-06 1.0943e-06 9.1743e-07 7.7045e-07 6.4807e-07 5.4601e-07
4.2318e-05 3.4074e-05 2.7503e-05 2.2252e-05 1.8045e-05 1.4666e-05 1.1947e-05 9.7528e-06 7.9787e-06 6.5410e-06 5.3733e-06 4.4229e-06 3.6478e-06 3.0144e-06 2.4956e-06 2.0700e-06 1.7201e-06 1.4319e-06 1.1941e-06 9.9749e-07 8.3467e-07 6.9959e-07 5.8733e-07 4.9387e-07 4.1595e-07
3.9462e-06 3.2199e-06 2.6326e-06 2.1569e-06 1.7706e-06 1.4563e-06 1.2001e-06 9.9084e-07 8.1956e-07 6.7911e-07 5.6372e-07 4.6876e-07 3.9045e-07 3.2577e-07 2.7225e-07 2.2790e-07 1.9107e-07 1.6044e-07 1.3493e-07 1.1364e-07 9.5857e-08 8.0973e-08 6.8498e-08 5.8026e-08 4.9223e-08
3.5520e-06 2.8988e-06 2.3706e-06 1.9426e-06 1.5950e-06 1.3121e-06 1.0814e-06 8.9299e-07 7.3872e-07 6.1221e-07 5.0825e-07 4.2267e-07 3.5210e-07 2.9380e-07 2.4555e-07 2.0555e-07 1.7234e-07 1.4472e-07 1.2172e-07 1.0252e-07 8.6475e-08 7.3048e-08 6.1793e-08 5.2346e-08 4.4404e-08
2.2061e-06 1.8078e-06 1.4843e-06 1.2211e-06 1.0065e-06 8.3110e-07 6.8754e-07 5.6979e-07 4.7304e-07 3.9339e-07 3.2771e-07 2.7345e-07 2.2855e-07 1.9132e-07 1.6041e-07 1.3470e-07 1.1329e-07 9.5420e-08 8.0488e-08 6.7990e-08 5.7515e-08 4.8721e-08 4.1329e-08 3.5105e-08 2.9859e-08
2.1894e-06 1.7942e-06 1.4732e-06 1.2120e-06 9.9896e-07 8.2492e-07 6.8244e-07 5.6558e-07 4.6956e-07 3.9051e-07 3.2531e-07 2.7145e-07 2.2688e-07 1.8993e-07 1.5925e-07 1.3373e-07 1.1247e-07 9.4734e-08 7.9910e-08 6.7503e-08 5.7103e-08 4.8373e-08 4.1034e-08 3.4855e-08 2.9646e-08
1.9872e-06 1.6300e-06 1.3395e-06 1.1030e-06 9.0989e-07 7.5199e-07 6.2262e-07 5.1642e-07 4.2908e-07 3.5712e-07 2.9772e-07 2.4862e-07 2.0795e-07 1.7421e-07 1.4617e-07 1.2283e-07 1.0337e-07 8.7130e-08 7.3544e-08 6.2166e-08 5.2622e-08 4.4605e-08 3.7861e-08 3.2180e-08 2.7387e-08
1.9841e-06 1.6274e-06 1.3374e-06 1.1012e-06 9.0847e-07 7.5082e-07 6.2165e-07 5.1562e-07 4.2842e-07 3.5657e-07 2.9727e-07 2.4824e-07 2.0763e-07 1.7394e-07 1.4595e-07 1.2265e-07 1.0322e-07 8.6999e-08 7.3434e-08 6.2073e-08 5.2544e-08 4.4539e-08 3.7805e-08 3.2132e-08 2.7346e-08
