# columns=rank, rows=iteration
5.9899e+02 -4.2383e+04 -5.8013e+03 -6.7336e+02 -6.3592e+01 -5.5601e+00
5.8738e+02 -9.5201e+03 -1.3700e+02 -2.9250e+00 -6.2039e-02 -4.6621e-05
5.8710e+02 -3.1366e+03 -7.4716e+00 -1.4733e-02 -2.1898e-05 -6.6968e-10
5.8693e+02 -1.5295e+03 -5.2572e-01 -6.5068e-05 -6.8836e-09 -5.3486e-15
5.8687e+02 -6.8053e+02 -4.0145e-02 -2.5301e-07 -5.2921e-12 -7.3635e-15
5.8687e+02 -4.2749e+02 -1.0578e-03 -4.8876e-10 -4.4234e-14 -2.4564e-15
5.8687e+02 -1.7760e+02 -8.3997e-05 -1.8554e-12 -1.7621e-14 -1.7920e-15
5.8687e+02 -9.2415e+01 -6.2312e-06 -4.8424e-13 -3.4939e-15 -1.6080e-15
5.8687e+02 -2.9106e+01 -1.3874e-07 -1.3714e-13 -5.3595e-16 -1.5925e-15
1.7984e+02 -1.5183e+01 -1.0205e-08 -1.6031e-13 -0.0000e+00 -4.1253e-16
