9.4937e+00 9.0643e+01 a
1.2610e+01 2.0498e+01 a
1.5718e+01 3.1557e+00 a
1.8812e+01 4.2668e-01 a
2.1922e+01 9.6812e-02 a
2.5040e+01 1.7127e-02 a
2.8147e+01 3.3929e-03 a
3.1198e+01 4.5038e-04 a
3.4239e+01 8.8164e-06 a
3.7291e+01 1.0000e-15 a
9.4374e+00 6.6401e+00 b
1.2502e+01 1.4923e-01 b
1.5565e+01 2.8336e-03 b
1.8624e+01 8.6616e-05 b
2.1682e+01 2.8881e-06 b
2.4733e+01 1.0013e-07 b
2.7787e+01 2.2114e-09 b
3.0850e+01 4.7418e-11 b
3.3906e+01 5.6642e-13 b
3.6960e+01 1.0000e-15 b
9.5855e+00 3.3206e+00 c
1.2742e+01 7.6167e-02 c
1.5907e+01 2.0711e-03 c
1.9072e+01 1.7136e-05 c
2.2172e+01 5.1726e-08 c
2.5275e+01 8.1081e-10 c
2.8369e+01 5.0190e-12 c
3.1421e+01 9.9181e-14 c
3.4492e+01 3.1110e-14 c
3.7555e+01 1.0000e-15 c
9.5823e+00 1.5483e+00 d
1.2710e+01 1.3557e-02 d
1.5837e+01 2.7431e-05 d
1.8969e+01 1.1004e-07 d
2.2094e+01 6.5305e-10 d
2.5205e+01 2.6277e-12 d
2.8303e+01 5.5584e-14 d
3.1404e+01 4.8953e-15 d
3.4506e+01 1.0000e-15 d
3.7565e+01 1.0000e-15 d
9.6885e+00 1.0918e+00 e
1.2833e+01 3.0511e-03 e
1.5977e+01 4.8920e-06 e
1.9111e+01 2.3766e-09 e
2.2196e+01 1.4060e-12 e
2.5288e+01 4.3584e-14 e
2.8324e+01 4.5241e-15 e
3.1363e+01 1.0000e-15 e
3.4396e+01 1.0000e-15 e
3.7453e+01 1.0000e-15 e
9.7378e+00 9.6620e-01 f
1.2879e+01 2.3502e-03 f
1.6023e+01 4.8383e-06 f
1.9185e+01 1.3873e-09 f
2.2324e+01 7.7093e-13 f
2.5448e+01 4.3638e-14 f
2.8541e+01 8.6597e-15 f
3.1619e+01 1.0000e-15 f
3.4694e+01 1.0000e-15 f
3.7755e+01 1.0000e-15 f
9.7910e+00 4.3077e-01 g
1.2940e+01 3.9902e-04 g
1.6079e+01 5.0386e-08 g
1.9233e+01 1.0187e-11 g
2.2391e+01 5.5309e-14 g
2.5525e+01 3.7023e-14 g
2.8625e+01 4.5231e-15 g
3.1733e+01 1.0000e-15 g
3.4770e+01 1.0000e-15 g
3.7817e+01 1.0000e-15 g
9.8168e+00 2.2727e-01 h
1.2974e+01 1.0056e-04 h
1.6134e+01 1.0221e-08 h
1.9279e+01 4.4138e-13 h
2.2426e+01 5.6869e-14 h
2.5562e+01 3.0930e-14 h
2.8652e+01 4.9709e-14 h
3.1724e+01 1.0000e-15 h
3.4779e+01 1.0000e-15 h
3.7841e+01 1.0000e-15 h
9.9040e+00 2.3095e-01 i
1.3036e+01 3.8345e-05 i
1.6171e+01 9.9322e-09 i
1.9332e+01 2.6503e-13 i
2.2485e+01 6.3308e-14 i
2.5649e+01 3.2418e-14 i
2.8773e+01 1.0000e-15 i
3.1857e+01 1.0000e-15 i
3.4969e+01 1.0000e-15 i
3.8034e+01 1.0000e-15 i
9.9859e+00 2.2786e-01 j
1.3138e+01 2.6396e-05 j
1.6293e+01 5.2467e-09 j
1.9442e+01 9.1405e-14 j
2.2577e+01 3.5906e-14 j
2.5685e+01 3.5731e-14 j
2.8799e+01 2.0588e-14 j
3.1891e+01 1.0000e-15 j
3.4949e+01 1.0000e-15 j
3.8008e+01 1.0000e-15 j
9.9756e+00 2.1105e-01 k
1.3087e+01 1.9193e-05 k
1.6213e+01 1.0087e-09 k
1.9347e+01 8.3681e-14 k
2.2438e+01 2.5076e-14 k
2.5561e+01 1.6549e-14 k
2.8686e+01 4.5231e-15 k
3.1800e+01 1.0000e-15 k
3.4866e+01 1.0000e-15 k
3.7925e+01 1.0000e-15 k
1.0071e+01 9.6380e-02 l
1.3212e+01 5.5655e-06 l
1.6351e+01 9.3750e-11 l
1.9502e+01 5.1828e-14 l
2.2635e+01 2.5068e-14 l
2.5732e+01 4.5231e-15 l
2.8813e+01 1.0000e-15 l
3.1878e+01 1.0000e-15 l
3.4935e+01 1.0000e-15 l
3.7995e+01 1.0000e-15 l
1.0117e+01 6.5382e-02 m
1.3249e+01 3.8628e-06 m
1.6372e+01 3.9757e-11 m
1.9511e+01 7.3180e-14 m
2.2593e+01 3.7685e-14 m
2.5691e+01 1.0000e-15 m
2.8760e+01 1.0000e-15 m
3.1801e+01 1.0000e-15 m
3.4827e+01 1.0000e-15 m
3.7878e+01 1.0000e-15 m
1.0210e+01 4.8630e-02 n
1.3349e+01 1.0583e-06 n
1.6496e+01 8.9003e-12 n
1.9653e+01 6.6170e-14 n
2.2802e+01 4.6330e-14 n
2.5897e+01 4.5231e-15 n
2.8991e+01 1.0000e-15 n
3.2046e+01 1.0000e-15 n
3.5096e+01 1.0000e-15 n
3.8156e+01 1.0000e-15 n
1.0203e+01 4.3524e-02 o
1.3326e+01 4.6619e-07 o
1.6454e+01 7.8905e-12 o
1.9597e+01 5.6378e-14 o
2.2723e+01 3.5963e-14 o
2.5812e+01 1.0000e-15 o
2.8894e+01 1.0000e-15 o
3.2003e+01 1.0000e-15 o
3.5082e+01 1.0000e-15 o
3.8121e+01 1.0000e-15 o
1.0281e+01 9.3399e-03 p
1.3425e+01 2.4285e-07 p
1.6578e+01 1.2084e-13 p
1.9724e+01 4.2872e-14 p
2.2880e+01 9.4414e-15 p
2.6054e+01 1.0000e-15 p
2.9138e+01 1.0000e-15 p
3.2205e+01 1.0000e-15 p
3.5267e+01 1.0000e-15 p
3.8324e+01 1.0000e-15 p
1.0402e+01 7.2063e-03 q
1.3540e+01 1.3969e-07 q
1.6695e+01 1.3387e-13 q
1.9842e+01 7.1312e-14 q
2.2936e+01 3.1093e-14 q
2.6058e+01 5.4329e-15 q
2.9147e+01 1.0000e-15 q
3.2204e+01 1.0000e-15 q
3.5254e+01 1.0000e-15 q
3.8298e+01 1.0000e-15 q
1.0417e+01 6.7138e-03 r
1.3538e+01 1.2213e-07 r
1.6672e+01 1.3203e-13 r
1.9815e+01 3.7685e-14 r
2.2954e+01 4.5231e-15 r
2.6095e+01 1.0000e-15 r
2.9235e+01 1.0000e-15 r
3.2316e+01 1.0000e-15 r
3.5347e+01 1.0000e-15 r
3.8386e+01 1.0000e-15 r
1.0462e+01 6.5583e-03 s
1.3616e+01 9.7943e-08 s
1.6769e+01 7.3654e-14 s
1.9859e+01 4.9709e-14 s
2.2972e+01 2.2079e-14 s
2.6114e+01 1.0000e-15 s
2.9267e+01 1.0000e-15 s
3.2358e+01 1.0000e-15 s
3.5469e+01 1.0000e-15 s
3.8540e+01 1.0000e-15 s
1.0523e+01 4.8438e-03 t
1.3636e+01 2.1442e-08 t
1.6750e+01 6.7299e-14 t
1.9874e+01 4.0543e-14 t
2.3009e+01 1.3724e-14 t
2.6161e+01 1.0000e-15 t
2.9323e+01 1.0000e-15 t
3.2423e+01 1.0000e-15 t
3.5486e+01 1.0000e-15 t
3.8542e+01 1.0000e-15 t
